,Window,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0,1,8.632404420783812,9.689630653734234,-0.5449143572230605,0.8908909667735392,0.15841763584236304,0.1411328407495813
1,2,8.86144879896731,9.726630893989807,-0.4883400775267467,0.9110501771423132,0.18146060925097762,0.16531972020245522
2,3,8.187458919735002,10.655331253753838,-0.6183395382477446,0.7683908387973004,0.13241040582552246,0.10174294279776416
3,4,8.249688761084894,9.761222256709207,-0.5876523139527317,0.8451491569526156,0.1403838386272136,0.11864528286556161
4,5,8.387832371715609,9.562817712803914,-0.4631913747086627,0.877129798310901,0.18108783603734793,0.1588375370999965
5,6,8.37512369127078,9.677359331076412,-0.4470327255463449,0.8654348159188603,0.1873492299928389,0.16213854637139274
6,7,8.301123622743845,9.706026323236964,-0.5125464787961432,0.8552545960925662,0.16195845579197662,0.1385157136921427
7,8,8.023169847022583,9.672181855327032,-0.5125464787961433,0.8295098217786049,0.1565354592985832,0.1298477009447998
8,9,8.156411720440238,10.847780395410354,-0.5488231357163469,0.7518968326360274,0.14861639733525717,0.1117441984341572
9,10,8.1663493279585,9.722953709741901,-0.5125464787961435,0.8399041661358766,0.1593289519252853,0.1338210505081099
10,11,8.25567115943706,9.828335878523077,-0.5125464787961431,0.8399866733774727,0.16107165888306915,0.1352980469205803
11,12,8.065638222306347,9.687937499078952,-0.5125464787961433,0.832544411343814,0.15736403537979077,0.13101254820195501
12,13,8.627377128783342,9.84087074040045,-0.5125464787961432,0.8766883903235043,0.168323800585795,0.14756752178869514
13,14,8.544574073416712,9.6928841379898,-0.5125464787961432,0.8815306106804207,0.1667082777250953,0.14695844986848444
14,15,8.292192898689631,9.769850882119373,-0.5876523139527314,0.8487532715433632,0.14110712579201423,0.11976513465405297
15,16,8.36410518249755,9.823324724809071,-0.5125464787961431,0.8514535981258745,0.1631872528349616,0.13894637359460488
16,17,8.457052178075063,9.763788344609562,-0.5125464787961431,0.8661650457369933,0.16500068828760242,0.14291782871726652
17,18,8.858919842141688,9.5328898731468,-0.4013094967064249,0.9293005541893841,0.2207503165224711,0.20514339148181435
18,19,8.724278154010157,9.460094655704355,-0.4013094967064249,0.922218907053905,0.21739525791467476,0.20048601715277314
19,20,8.643529585278142,9.451649333425777,-0.4013094967064248,0.914499605345099,0.21538313088068425,0.19696778818837757
20,21,8.58862451467055,10.777026830836308,-0.5488231357163469,0.7969382139882885,0.1564916629008418,0.12471418633625415
21,22,8.720825250952501,10.716856383741328,-0.5488231357163469,0.8137484481160884,0.15890046689758652,0.1293050083428329
22,23,8.571722920956626,10.644259811402605,-0.548823135716347,0.8052906517533718,0.15618370223712333,0.1257732753677876
23,24,8.858373572799483,10.67483096477826,-0.5488231357163471,0.8298373624863755,0.16140670821460834,0.1339413170324186
